mode,distance_m,snr_db_mean,snr_db_ci_low,snr_db_ci_high
Conventional IRS,10,59.32231630662878,58.47533145756709,60.16930115569047
Conventional IRS,20,52.1444020361164,51.5213015066416,52.767502565591194
Conventional IRS,30,48.28697957597578,47.68208627897602,48.89187287297553
Conventional IRS,40,45.52078371539574,44.912131141264936,46.12943628952654
Conventional IRS,50,42.872470861688704,42.251364720290276,43.49357700308713
Conventional IRS,60,41.52140366162111,40.852233108008804,42.19057421523341
Conventional IRS,70,39.86272313723597,39.26896951199606,40.45647676247587
Conventional IRS,80,37.91141856685283,37.22643344772052,38.596403685985145
Conventional IRS,90,37.039041622396056,36.40279456883172,37.67528867596039
Conventional IRS,100,35.79705377899577,34.991293264682156,36.60281429330938
Conventional IRS,110,35.16900743209225,34.63314461059415,35.70487025359035
Conventional IRS,120,33.88007559795328,33.29348486408416,34.4666663318224
Conventional IRS,130,33.58546494683936,32.94766732142428,34.22326257225444
Conventional IRS,140,31.65577042836199,30.870306502700398,32.441234354023585
Conventional IRS,150,31.602613713677673,30.997461346898675,32.20776608045667
Conventional IRS,160,31.274655224212566,30.733879068799297,31.815431379625835
Conventional IRS,170,29.901914325121876,29.24122305436302,30.562605595880733
Conventional IRS,180,30.169559593917953,29.555248395358895,30.78387079247701
Conventional IRS,190,28.865187900496736,28.140371450419362,29.59000435057411
Conventional IRS,200,28.3971651127923,27.767182540829626,29.027147684754976
Zero-shot LAMI,10,62.52709612379995,62.01914539403825,63.03504685356165
Zero-shot LAMI,20,55.45194187790633,54.79994107628167,56.10394267953099
Zero-shot LAMI,30,51.39442988974267,50.74152741987191,52.04733235961343
Zero-shot LAMI,40,48.58313958681867,48.02548218224486,49.14079699139248
Zero-shot LAMI,50,46.25718169139301,45.66237065251804,46.85199273026797
Zero-shot LAMI,60,44.36334617078303,43.67766316934973,45.049029172216336
Zero-shot LAMI,70,42.56141957276006,41.9689140915446,43.15392505397552
Zero-shot LAMI,80,42.04320486908392,41.44422765146817,42.64218208669968
Zero-shot LAMI,90,39.99751777512413,39.30917642185089,40.68585912839737
Zero-shot LAMI,100,39.0119379119402,38.31519259277072,39.70868323110968
Zero-shot LAMI,110,38.712282428436076,38.098290036548605,39.32627482032355
Zero-shot LAMI,120,37.63408209800565,36.81149507502101,38.45666912099029
Zero-shot LAMI,130,36.745052965156454,36.08373424414145,37.406371686171454
Zero-shot LAMI,140,36.191154759405585,35.56925228727424,36.81305723153693
Zero-shot LAMI,150,35.91950326047435,35.43995555693411,36.39905096401459
Zero-shot LAMI,160,35.33843812463444,34.758293525981315,35.91858272328757
Zero-shot LAMI,170,34.461075825035266,33.87452155815915,35.04763009191138
Zero-shot LAMI,180,34.01807419785016,33.38720220545004,34.648946190250285
Zero-shot LAMI,190,32.66898759365245,31.948180228200258,33.38979495910465
Zero-shot LAMI,200,33.36763711705705,32.86838598254106,33.866888251573044
Few-shot LAMI,10,63.376225807683234,62.78045216055908,63.97199945480739
Few-shot LAMI,20,55.8091789353165,55.14416574213312,56.47419212849989
Few-shot LAMI,30,52.48040054700962,51.81477888644151,53.14602220757774
Few-shot LAMI,40,49.53179572027199,48.83335754800734,50.23023389253663
Few-shot LAMI,50,47.023459646577564,46.41090302339491,47.63601626976022
Few-shot LAMI,60,45.43688806619739,44.751748058331714,46.12202807406307
Few-shot LAMI,70,44.5868033059554,44.046388851517975,45.127217760392824
Few-shot LAMI,80,42.486757676545636,41.798356415721585,43.17515893736969
Few-shot LAMI,90,41.6247823318802,40.92492218586714,42.324642477893256
Few-shot LAMI,100,40.924825490610964,40.28390358159569,41.56574739962624
Few-shot LAMI,110,39.584018251555264,38.86291562579261,40.30512087731792
Few-shot LAMI,120,39.212237615220246,38.55870059899131,39.865774631449185
Few-shot LAMI,130,38.1943280134628,37.44431316532695,38.94434286159865
Few-shot LAMI,140,37.71189016340443,37.07314218548545,38.350638141323415
Few-shot LAMI,150,37.79571705101828,37.2121645100328,38.37926959200376
Few-shot LAMI,160,36.521139660009005,35.85790017042992,37.18437914958809
Few-shot LAMI,170,36.54958189588767,35.902089948602075,37.197073843173264
Few-shot LAMI,180,35.69584608240094,34.990364779651365,36.401327385150516
Few-shot LAMI,190,35.70461000640242,35.176435235443215,36.23278477736162
Few-shot LAMI,200,34.9986322540872,34.329751303578185,35.66751320459621
Structured-CoT LAMI,10,63.77810165173281,63.1064117628763,64.44979154058932
Structured-CoT LAMI,20,57.07638962156564,56.53511862027154,57.61766062285974
Structured-CoT LAMI,30,53.07814989888792,52.439178992176544,53.7171208055993
Structured-CoT LAMI,40,49.83249156231603,49.2005603681234,50.46442275650866
Structured-CoT LAMI,50,48.463442713557086,47.87704413602553,49.04984129108864
Structured-CoT LAMI,60,46.094830108708585,45.44538396040158,46.74427625701559
Structured-CoT LAMI,70,45.35845598924141,44.68287189881957,46.03404007966326
Structured-CoT LAMI,80,44.297476384754525,43.600056589698994,44.994896179810056
Structured-CoT LAMI,90,42.498242030404896,41.75460991888608,43.24187414192371
Structured-CoT LAMI,100,42.50398131108582,41.8725215480186,43.13544107415305
Structured-CoT LAMI,110,40.7507368762484,40.110140245046104,41.3913335074507
Structured-CoT LAMI,120,40.67120183225376,40.06008111886693,41.28232254564058
Structured-CoT LAMI,130,39.92636318973794,39.216437498544174,40.63628888093171
Structured-CoT LAMI,140,39.17612510208817,38.57197854490949,39.78027165926685
Structured-CoT LAMI,150,39.05296650344374,38.47875365984489,39.62717934704259
Structured-CoT LAMI,160,38.648314786195016,38.00880029427768,39.287829278112355
Structured-CoT LAMI,170,38.40906642496655,37.870671426009345,38.94746142392375
Structured-CoT LAMI,180,37.976588257684455,37.45717527230544,38.49600124306347
Structured-CoT LAMI,190,36.82579472735591,36.08909877908794,37.562490675623884
Structured-CoT LAMI,200,37.41349085842439,36.72817188696045,38.098809829888324
